,Prediction_Value,Lower_Bound_95,Upper_Bound_95,Lower_Bound_68,Upper_Bound_68,ID,EQUIPMENT_NO,VALUE
1521609,2762.9547594999999,2468.2075869999999,3057.7019310000001,2616.0277150000002,2909.8818035000004,2065692.0,21.0,2614.7064818999997
1521610,2757.1514525000002,2462.4042804999999,3051.8986249999998,2610.2244085000002,2904.078497,2065698.0,21.0,2642.8108519000002
1521611,2747.2667419999998,2452.5195705000001,3042.0139145000003,2600.3396979999998,2894.1937865,2065704.0,21.0,2768.6311188000004
1521612,2748.8447395000003,2443.5144375,3054.1750425,2596.6421635000002,2901.0473155,2065710.0,21.0,2576.9122465999994
1521613,2746.1298624999999,2440.7995599999999,3051.4601650000004,2593.9272865000003,2898.3324385000001,2065716.0,21.0,2577.2974547000003
1521614,2754.1997474999998,2448.8694445000001,3059.5300500000003,2601.997171,2906.4023235,2065722.0,21.0,2501.3623503999997
1521615,2732.3843850000003,2427.0540824999998,3037.714688,2580.1818089999997,2884.5869615000001,2065728.0,21.0,2546.5765838999996
1521616,2749.5867639999997,2440.8619339999996,3058.3115945,2595.692067,2903.4814615,2065734.0,21.0,2590.5921172999997
1521617,2750.9247050000004,2442.1998745000001,3059.649535,2597.0300075,2904.8194020000001,2065740.0,21.0,2460.385315
1521618,2747.0216439999999,2438.2968140000003,3055.7464739999996,2593.1269469999997,2900.9163410000001,2065746.0,21.0,2700.6057891999999
1521619,2754.6375724999998,2445.912742,3063.3624024999999,2600.7428749999999,2908.5322695,2065752.0,21.0,2450.2571869000003
1521620,2697.7792705000002,2248.0341355,3147.524406,2473.5880665000004,2921.9704750000001,2065758.0,21.0,2599.4093475999998
1521621,2717.7350429999997,2267.9899074999998,3167.4801785,2493.5438389999999,2941.9262469999999,2065764.0,21.0,2647.4371948000003
1521622,2730.7392629999995,2280.9941269999999,3180.4843984999998,2506.5480585,2954.9304670000001,2065770.0,21.0,2705.3573913
1521623,2757.3452310000002,2307.6000955,3207.0903665000001,2533.1540270000005,2981.536435,2065776.0,21.0,2649.8372192000002
1521624,2296.4104360000001,761.08142840000005,3831.7394435000006,1531.0719544999999,3061.7489175000001,2065782.0,21.0,2486.7574156999999
1521625,2481.9073939999998,946.57838620000007,4017.2364015000003,1716.5689124999999,3247.2458750000001,2065788.0,21.0,2688.4813842999997
1521626,2667.5033295000003,1132.1743219999998,4202.8323369999998,1902.1648479999999,3432.8418104999996,2065794.0,21.0,2600.2445830999995
1521627,2778.0288744999998,1242.6998675,4313.3578825000004,2012.6903935,3543.3673559999997,2065800.0,21.0,2687.3575745999997
1521628,2760.4825575000004,1403.4564325000001,4117.5086824999998,2084.0253890000004,3436.9397264999998,2065806.0,21.0,2562.8235017000002
1521629,2996.2189129999997,1639.1927879999998,4353.245038,2319.7617445000001,3672.6760814999998,2065812.0,21.0,2713.7251891000005
